"fad_class","time_start","time_end","geom_wkt","number_of_days","number_of_fad"
"W",2009-09-01,2009-09-30,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((55.0000000000000000 5.0000000000000000, 55.0000000000000000 10.0000000000000000, 60.0000000000000000 10.0000000000000000, 60.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((60.0000000000000000 10.0000000000000000, 60.0000000000000000 15.0000000000000000, 65.0000000000000000 15.0000000000000000, 65.0000000000000000 10.0000000000000000, 60.0000000000000000 10.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((60.0000000000000000 -10.0000000000000000, 60.0000000000000000 -5.0000000000000000, 65.0000000000000000 -5.0000000000000000, 65.0000000000000000 -10.0000000000000000, 60.0000000000000000 -10.0000000000000000))",1,1
"W",2009-09-01,2009-09-30,"POLYGON ((60.0000000000000000 5.0000000000000000, 60.0000000000000000 10.0000000000000000, 65.0000000000000000 10.0000000000000000, 65.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000))",1,1
"W",2009-10-01,2009-10-31,"POLYGON ((0.0000000000000000 -5.0000000000000000, 0.0000000000000000 0.0000000000000000, 5.0000000000000000 0.0000000000000000, 5.0000000000000000 -5.0000000000000000, 0.0000000000000000 -5.0000000000000000))",1,3
"W",2009-10-01,2009-10-31,"POLYGON ((-10.0000000000000000 0.0000000000000000, -10.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 0.0000000000000000, -10.0000000000000000 0.0000000000000000))",1,1
"W",2009-10-01,2009-10-31,"POLYGON ((10.0000000000000000 -10.0000000000000000, 10.0000000000000000 -5.0000000000000000, 15.0000000000000000 -5.0000000000000000, 15.0000000000000000 -10.0000000000000000, 10.0000000000000000 -10.0000000000000000))",1,1
"W",2009-10-01,2009-10-31,"POLYGON ((-10.0000000000000000 -5.0000000000000000, -10.0000000000000000 0.0000000000000000, -5.0000000000000000 0.0000000000000000, -5.0000000000000000 -5.0000000000000000, -10.0000000000000000 -5.0000000000000000))",1,1
"W",2009-10-01,2009-10-31,"POLYGON ((-15.0000000000000000 0.0000000000000000, -15.0000000000000000 5.0000000000000000, -10.0000000000000000 5.0000000000000000, -10.0000000000000000 0.0000000000000000, -15.0000000000000000 0.0000000000000000))",1,1
"W",2009-10-01,2009-10-31,"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1,1
"W",2009-10-01,2009-10-31,"POLYGON ((-20.0000000000000000 0.0000000000000000, -20.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000, -15.0000000000000000 0.0000000000000000, -20.0000000000000000 0.0000000000000000))",1,2
"W",2009-10-01,2009-10-31,"POLYGON ((35.0000000000000000 -10.0000000000000000, 35.0000000000000000 -5.0000000000000000, 40.0000000000000000 -5.0000000000000000, 40.0000000000000000 -10.0000000000000000, 35.0000000000000000 -10.0000000000000000))",1,1
"W",2009-10-01,2009-10-31,"POLYGON ((45.0000000000000000 0.0000000000000000, 45.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000, 50.0000000000000000 0.0000000000000000, 45.0000000000000000 0.0000000000000000))",1,3
