"fad_id","section","fad_class","id_point","time","geom","lon","lat"
16,1,"W",478066,2008-10-07 21:00:00,"POINT(4.24767 -5.71767)",4.24767,-5.71767
16,1,"W",478066,2008-10-07 21:00:00,"POINT(4.24767 -5.71767)",4.24767,-5.71767
16,1,"W",478066,2008-10-07 21:00:00,"POINT(4.24767 -5.71767)",4.24767,-5.71767
16,2,"W",148066,2008-12-27 21:00:00,"POINT(3.97133 -6.781)",3.97133,-6.781
16,2,"W",148066,2008-12-27 21:00:00,"POINT(3.97133 -6.781)",3.97133,-6.781
16,2,"W",148066,2008-12-27 21:00:00,"POINT(3.97133 -6.781)",3.97133,-6.781
16,1,"W",149094,2008-12-17 21:00:00,"POINT(4.5955 -6.633)",4.5955,-6.633
16,1,"W",149094,2008-12-17 21:00:00,"POINT(4.5955 -6.633)",4.5955,-6.633
16,1,"W",149094,2008-12-17 21:00:00,"POINT(4.5955 -6.633)",4.5955,-6.633
16,1,"W",153945,2008-11-22 21:00:00,"POINT(4.88167 -5.48933)",4.88167,-5.48933
16,1,"W",153945,2008-11-22 21:00:00,"POINT(4.88167 -5.48933)",4.88167,-5.48933
16,1,"W",153945,2008-11-22 21:00:00,"POINT(4.88167 -5.48933)",4.88167,-5.48933
16,1,"W",474188,2008-10-10 21:00:00,"POINT(4.52883 -5.6)",4.52883,-5.6
16,1,"W",474188,2008-10-10 21:00:00,"POINT(4.52883 -5.6)",4.52883,-5.6
16,1,"W",474188,2008-10-10 21:00:00,"POINT(4.52883 -5.6)",4.52883,-5.6
16,1,"W",465003,2008-09-27 21:00:00,"POINT(4.313 -5.54833)",4.313,-5.54833
16,1,"W",465003,2008-09-27 21:00:00,"POINT(4.313 -5.54833)",4.313,-5.54833
16,1,"W",465003,2008-09-27 21:00:00,"POINT(4.313 -5.54833)",4.313,-5.54833
16,2,"W",148228,2008-12-22 21:00:00,"POINT(4.25267 -6.81183)",4.25267,-6.81183
16,2,"W",148228,2008-12-22 21:00:00,"POINT(4.25267 -6.81183)",4.25267,-6.81183
16,2,"W",148228,2008-12-22 21:00:00,"POINT(4.25267 -6.81183)",4.25267,-6.81183
16,1,"W",469984,2008-10-01 21:00:00,"POINT(4.3555 -5.47767)",4.3555,-5.47767
